GeoID2,Town,Margin of Error,Gini Index
901376290,Tolland,0.025,0.365
901369220,Somers,0.035,0.374
901337910,Hebron,0.031,0.357
901325360,Ellington,0.031,0.374
901306260,Bolton,0.047,0.394
901301080,Andover,0.06,0.394
900387070,Windsor Locks,0.023,0.382
900387000,Windsor,0.022,0.379
900384900,Wethersfield,0.022,0.414
900382590,West Hartford,0.016,0.47
900374540,Suffield,0.04,0.451
900371390,South Windsor,0.023,0.38
900368940,Simsbury,0.024,0.455
900365370,Rocky Hill,0.021,0.372
900352140,Newington,0.014,0.366
900345820,Marlborough,0.032,0.334
900344700,Manchester,0.015,0.412
900337070,Hartford,0.013,0.505
900332640,Granby,0.022,0.379
900331240,Glastonbury,0.017,0.417
900327600,Farmington,0.031,0.491
900325990,Enfield,0.011,0.365
900324800,East Windsor,0.03,0.382
900322630,East Hartford,0.022,0.426
900322070,East Granby,0.083,0.414
900312270,Canton,0.029,0.443
900305910,Bloomfield,0.027,0.456
900302060,Avon,0.022,0.46
